,Gene,WT1,WT2,WT3,WT_LPS1,WT_LPS2,WT_LPS3,MyD88KO1,MyD88KO2,MyD88KO3,MyD88KO_LPS1,MyD88KO_LPS2,MyD88KO_LPS3
1,0610005C13Rik,2.5,2,1.5,1.5,1,2.5,3.5,6.5,1.5,1,4.5,0
2,0610009B22Rik,285,255.5,214.5,153.5,197,133.5,166.5,182.5,142,131.5,141,157.5
3,0610009E02Rik,139,81.5,135,133.5,84.5,125,54.5,80,67.5,50.5,80,48.5
4,0610009L18Rik,24.5,14.5,25,11.5,11,22.5,16,4,19.5,4.5,4,16
5,0610010F05Rik,1304.5,1050.5,934,738,908.5,1009,1829,1943.5,1785.5,1252,1765,1694
6,0610010K14Rik,2190,1521.5,1315,1563.5,1600.5,1523.5,1420.5,1615,1317.5,1275,1435,1534.5
7,0610012G03Rik,846,698.5,550,575.5,683.5,575,536.5,693.5,661.5,517.5,578.5,645
8,0610030E20Rik,398,252.5,363,249.5,232.5,333,291,266,314.5,256.5,314.5,343
9,0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
10,0610038B21Rik,232.5,145,222,124,120,118.5,152,168,208,167.5,230,141.5
11,0610039H22Rik,0,0,0,0,2,0,0,0,0,0,0,0
12,0610039K10Rik,1557.5,904,947.5,1088,908.5,983,636.5,732,693.5,547.5,515.5,714
13,0610040B10Rik,6,4.5,5,5,8.5,11.5,7.5,3,3,3.5,5.5,7
14,0610040F04Rik,86.5,51.5,54,113.5,88,99,45.5,49,46.5,48.5,58,46.5
15,0610040J01Rik,1,1,0,0,0,0,0,0,0,2,0,2
16,0610043K17Rik,1,0,1.5,0,1,0,0,1,0,0,0,0
17,1110002E22Rik,13,19.5,4,13.5,8,28,24,20,17,16,16,29
18,1110002J07Rik,0,1,0,2.5,0,4,2,2,0,0,0,9.5
19,1110002L01Rik,725,530,398,394.5,511.5,331,580,665,542.5,481.5,596,636
20,1110004F10Rik,1754.5,1244.5,1192.5,1225.5,1285,1031,1058,1349.5,1283,992,1038,1270.5
21,1110006O24Rik,14,5,11,5,8,7.5,10,9.5,11,9,8,15.5
22,1110008P14Rik,330,210.5,211.5,251.5,260,336.5,250,276,275,235,269,231.5
23,1110012L19Rik,692,452,496.5,462,455,477,238.5,318.5,329,253,255.5,283.5
24,1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,0
25,1110017D15Rik,12,16,7,8.5,17,2,6,0,9,0,14,0
26,1110019D14Rik,75.5,55,51.5,53.5,46.5,60.5,27.5,35,41.5,31.5,49,54.5
27,1110020A21Rik,2,3.5,2,0,2,0,3.5,3,1,4.5,8.5,1
28,1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
29,1110028F11Rik,0,0,0,0,0,0,0,0,0,0,0,0
30,1110028F18Rik,0,0,1,0,0,0,0,0,0,0,0,0
31,1110032A03Rik,1379.5,864,801,885.5,966.5,751,826.5,727.5,628.5,661.5,974.5,715
32,1110032F04Rik,0,0,0,5,4,9,0,0,0,0,0,0
33,1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0,0
34,1110038B12Rik,1639.5,1144.5,775.5,1048,1050,1120.5,680,870.5,815.5,744.5,870.5,754.5
35,1110038F14Rik,730,539.5,496,520.5,511,750,363,403.5,390.5,393.5,353,263.5
36,1110046J04Rik,76,75.5,27.5,48.5,60,34.5,46,76,76.5,66,60,53.5
37,1110051M20Rik,1487,1017.5,976.5,957,962.5,960.5,829.5,1015,946.5,720.5,778,825
38,1110058D11Rik,0,0,0,0.5,0,0,0,0,0,0,0,0
39,1110059E24Rik,234.5,200.5,186,183.5,177,217.5,224,302.5,264.5,204,257,239
40,1110059G10Rik,207,148.5,142,121,117,158,146,146,140,135.5,176,169.5
41,1110065P20Rik,992.5,857.5,511.5,663.5,798.5,779.5,501.5,595,561.5,500.5,604.5,492
42,1190005I06Rik,17,10,6,14,8,9.5,5.5,9.5,7,4,5,4
43,1190007I07Rik,142.5,126.5,127.5,102.5,107,102.5,49.5,45,84.5,64,62.5,83
44,1190028D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
45,1300002E11Rik,73.5,53,97.5,64.5,50,81.5,69,101,60,53,63.5,98
46,1300017J02Rik,5,2,1.5,3,2,0.5,1,2,0.5,1,0,1
47,1500004A13Rik,97.5,37,95.5,50,53.5,66,78,85.5,55.5,80.5,59,81
48,1500009C09Rik,4,0,0,0,0,0,0,0,0,0,0,0
49,1500009L16Rik,92,37,35.5,137,108.5,199,60.5,62,61,53,62,51
50,1500011B03Rik,228.5,194.5,116,154,163.5,161,141,154,151.5,112.5,105.5,86
51,1500012K07Rik,0,0,0,0,0,0,1.5,0,0,0,0,0
52,1500015A07Rik,20,14.5,22,9,16,19,19,17,18,12,19,16
53,1500015L24Rik,1.5,0,0,0,1,0.5,0,0,0,0,1,0
54,1500026H17Rik,1,0,1,1,0,1,0,0,1,0,0,0
55,1600002D24Rik,1,0,0,0,0,0,0,1,0,0,0,0
56,1600010M07Rik,3,0,0,2.5,0.5,0,1.5,0.5,0,0,4,0
57,1600012H06Rik,4843,3970,3872,3177.5,3751.5,3396.5,3422,4092,3466,3162,3295,3580.5
58,1600012P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
59,1600014C10Rik,2201,1432,1309,1193,1436,1294.5,1284.5,1432.5,1298.5,1154,1137.5,1368
60,1600014C23Rik,2,4,0,6,0.5,3,2,1.5,3,0,3.5,3
61,1600019K03Rik,3.5,1.5,4,0,4,3,2,6.5,2,2,3,0.5
62,1600020E01Rik,63.5,33.5,87,53.5,44.5,68,77.5,45,55.5,39.5,40.5,73
63,1600023N17Rik,1,1,4,1,0,2,1,0.5,0,0,0,0
64,1600025M17Rik,2,1,0,0,2,0,1,0,0.5,0.5,0,0
65,1600027J07Rik,0,0,0,0,0,1,1,4,2.5,1.5,1,6.5
66,1600029I14Rik,0,0,0,0.5,0,0,0,0,0,0,0,0
67,1600029O15Rik,0,0,0,2,0,1,0,0,0,0,0,0
68,1700001C19Rik,0,0,0.5,4,0,0.5,0,13.5,12,0,3,9
69,1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
70,1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
71,1700001G01Rik,0,0,0,0,0,0,0,0,0,0,0,0
72,1700001G11Rik,214.5,120,109.5,135.5,123.5,148,84,110,75,83,111,82.5
73,1700001G17Rik,2.5,1.5,4,1.5,2,4.5,3,6,2.5,2,7.5,4.5
74,1700001J03Rik,0,0,0,0,0,1,0,0,0,0,0,0
75,1700001J11Rik,0,0,0,0,0,0,0,0,1,0,0,0
76,1700001K19Rik,16,7,6.5,8,4.5,5.5,10,4.5,8,9.5,4,5.5
77,1700001K23Rik,0,0.5,1,0,0,0,0,0,0,0,0,0
78,1700001L05Rik,41,31,31,20,26.5,33,33,36,35,33,33,45.5
79,1700001L19Rik,0,0,0,0,0,1,0,0,1,0,0,0
80,1700001O22Rik,5.5,6,11,1.5,7,9,7,1.5,6,0,3,0
81,1700001P01Rik,2,0,0.5,1,0,2,0,0,0,0,0,2
82,1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
83,1700003D09Rik,1,0,0,0,0,0,0,0,0,0,0,0
84,1700003E16Rik,80.5,63,38,62.5,44.5,34.5,12,18,13,27,12.5,23.5
85,1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
86,1700003F12Rik,35,34.5,21.5,23,28,28,6,23,9.5,5,3,19.5
87,1700003G18Rik,0,0,1,0,0,0,0,0,0,0,0,1
88,1700003H04Rik,0,0,0,0,1,0,2,0,0,0,0,0
89,1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
90,1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0
91,1700003M07Rik,444,191.5,204,301,151.5,148.5,98,73.5,54.5,55,53,100
92,1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
93,1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
94,1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
95,1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
96,1700007F19Rik,0,0,0,0,0,0,0,0,0,1,0,0
97,1700007J10Rik,407,304,282.5,293.5,283,298,546,537,467.5,397.5,441.5,494
