Gene,G11,G14,G15,G22,G24,G26,G27
Xkr4,21,19,47,24,12,16,9
Rp1,0,0,4,0,1,0,0
Sox17,58,80,183,35,50,56,36
Mrpl15,638,735,1190,674,658,610,717
Lypla1,2718,2680,3606,2378,2500,2274,2963
Tcea1,1370,1285,1969,1308,1317,1305,1084
Rgs20,0,4,6,0,0,0,0
Atp6v1h,1186,1353,1902,1063,1196,1060,1192
Oprk1,2,12,3,0,0,0,3
Npbwr1,2,4,17,0,1,3,4
Rb1cc1,1418,1154,1558,1217,1113,1404,1022
Alkal1,0,2,3,0,1,0,1
St18,60,45,49,20,41,46,29
Pcmtd1,1319,1158,1621,1141,1036,1305,1059
Sntg1,1,1,10,3,6,0,0
Rrs1,368,774,1045,492,496,539,637
Adhfe1,86,43,78,51,43,50,63
2610203C22Rik,6,3,6,4,3,6,5
Vxn,5,3,4,0,3,2,0
Mybl1,82,24,59,30,66,23,40
Vcpip1,856,919,1164,721,846,858,754
1700034P13Rik,8,5,7,4,8,5,0
Sgk3,134,140,191,87,114,124,105
Mcmdc2,4,1,6,0,1,0,3
Snhg6,194,212,274,188,159,213,189
Snord87,2,1,3,0,1,6,1
Tcf24,20,12,20,16,16,5,15
Ppp1r42,0,0,0,0,1,0,2
Cops5,950,1039,1785,945,923,850,988
Cspp1,513,641,933,525,543,705,476
Arfgef1,4117,3234,4444,3643,3987,3797,3195
Cpa6,10,10,29,6,2,2,6
Prex2,135,168,185,144,118,131,91
A830018L16Rik,3,4,4,2,1,0,3
Mir6341,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0
Sulf1,109,164,405,107,89,105,81
Slco5a1,19,10,12,4,2,7,4
Prdm14,39,24,64,41,29,46,28
Ncoa2,1260,970,1413,1045,1148,1505,1027
Tram1,2253,2465,3896,2297,2000,1776,2385
Lactb2,527,604,884,543,607,684,723
Xkr9,68,54,124,107,79,78,122
Gm5523,0,0,2,0,0,2,0
Eya1,0,2,10,3,3,0,1
Msc,23,29,65,20,14,17,10
Trpa1,74,59,53,65,62,31,62
Kcnb2,12,15,19,10,10,9,9
Terf1,256,256,332,162,214,224,239
Sbspon,19,12,20,17,5,9,9
4930444P10Rik,0,0,2,0,2,0,0
Rpl7,15981,16814,28943,17274,13262,15823,14807
Rdh10,723,731,1036,652,567,708,694
Stau2,370,375,468,394,312,364,330
Ube2w,613,691,950,565,439,528,421
Eloc,602,634,973,551,561,513,599
D030040B21Rik,1,0,0,0,0,2,0
Tmem70,873,832,1457,885,707,801,815
Ly96,97,80,136,77,74,80,51
Jph1,10,15,29,8,8,23,17
Gdap1,8,21,10,5,2,0,10
Pi15,13,9,40,11,12,13,5
Gm16070,0,1,1,0,0,0,0
Crispld1,13,3,7,5,4,2,1
Crisp4,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0
