Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Xkr4,112,58,59,58,58,43,35,112,128,70
Rp1,0,0,2,4,0,0,0,0,0,2
Sox17,170,241,239,446,571,339,208,432,804,755
Mrpl15,3337,4191,3306,2756,4333,2520,3493,3351,3312,3125
Lypla1,16808,18023,12861,10626,20280,11898,12717,12940,14390,11229
Tcea1,6709,7175,5264,5424,8527,5698,5731,5515,6585,5342
Rgs20,48,4,6,4,36,0,8,13,0,14
Atp6v1h,6726,7266,5022,4695,8752,4892,5137,5527,6575,5132
Oprk1,0,6,0,2,0,2,6,2,36,58
Npbwr1,2,0,0,0,0,0,0,4,0,0
Rb1cc1,5674,6048,3726,3488,5589,4206,4830,4888,6423,4485
Alkal1,0,14,2,4,0,4,2,8,76,48
St18,192,186,132,114,180,173,151,102,329,143
Pcmtd1,4835,5614,3835,3730,5148,3824,4276,4631,5968,4709
Sntg1,0,10,12,18,68,16,18,34,50,21
Rrs1,3004,3414,2710,2866,5082,3153,2962,3501,3990,3157
Adhfe1,139,220,263,142,428,176,177,230,380,181
2610203C22Rik,14,24,25,20,50,19,6,25,0,18
Vxn,3,21,8,0,20,2,4,7,30,6
Mybl1,319,438,233,307,428,265,329,332,422,348
Vcpip1,5291,5009,3536,3228,5320,3623,4104,4482,4953,4234
1700034P13Rik,28,25,18,13,108,16,10,6,14,21
Sgk3,694,719,529,633,896,586,536,649,1086,811
Mcmdc2,0,6,2,0,32,8,0,0,0,6
Snhg6,606,776,461,493,1034,497,517,591,716,606
Snord87,3,8,6,7,39,13,5,11,0,14
Tcf24,130,184,130,177,20,194,170,130,42,108
Ppp1r42,6,11,2,0,0,8,6,4,44,4
Cops5,5437,6219,4367,4710,7836,4418,4882,4691,5797,4387
Cspp1,2314,2676,1987,1879,2691,2041,2404,2377,3293,2338
Arfgef1,20663,21769,13670,12526,19077,15872,17359,16980,19055,13753
Cpa6,19,20,38,16,0,14,30,30,20,100
Prex2,807,820,643,942,1465,943,508,758,1570,1291
A830018L16Rik,2,0,8,0,0,0,0,8,76,14
Mir6341,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0
Sulf1,1405,1772,745,2339,1974,1551,889,1838,5833,3564
Slco5a1,48,48,10,56,0,52,18,46,34,91
Prdm14,128,207,54,76,152,71,100,127,68,120
Ncoa2,5928,5771,3863,3874,5640,4312,4428,4791,5670,4025
Tram1,14479,14794,11325,9855,16255,10224,12686,12527,14305,12429
Lactb2,3102,3680,2354,2362,3512,2557,2632,2221,3151,2374
Xkr9,262,385,262,315,615,294,253,256,234,174
Gm5523,10,2,10,7,56,8,18,11,0,14
Eya1,4,20,18,32,30,26,10,50,140,38
Msc,102,142,108,250,138,144,95,241,280,335
Trpa1,595,885,414,1081,1153,858,525,498,827,422
Kcnb2,54,88,54,50,26,72,53,84,120,58
Terf1,1739,1876,1198,1271,2210,1243,1601,1339,1934,1352
Sbspon,20,26,18,38,21,36,35,45,0,78
4930444P10Rik,0,0,0,0,0,0,0,1,0,2
Rpl7,71838,77649,58660,54666,106815,57208,66997,74606,82482,65659
Rdh10,3774,4418,2986,4035,5604,3731,3033,3579,4764,4080
Stau2,1712,2022,1539,1204,2660,1407,1582,1572,1672,1355
Ube2w,2075,2499,1971,1901,2728,1891,2240,2393,3345,2378
Eloc,3265,3458,2380,2636,4169,2408,2923,3177,3971,3118
D030040B21Rik,0,0,0,2,0,0,4,0,0,0
Tmem70,3556,4592,3325,2918,4396,2923,3649,3733,3629,3301
Ly96,346,392,273,295,626,246,362,389,480,361
Jph1,64,84,36,60,16,60,30,90,138,172
Gdap1,6,14,10,2,10,10,34,32,80,64
Pi15,290,420,158,1068,972,890,402,448,1250,667
Gm16070,0,14,0,1,0,1,0,0,0,0
Crispld1,15,16,20,37,60,40,25,48,122,99
Crisp4,0,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0,0,0,0,0
Pkhd1,367,292,167,192,242,247,163,264,248,230
4930486I03Rik,0,0,0,0,0,0,0,0,0,1
Lincmd1,0,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0
Il17a,62,7,6,53,0,14,0,0,0,18
Il17f,24,8,6,38,0,8,0,6,30,24
Mcm3,6765,6066,3853,4984,6056,5344,4686,4507,5248,3899
6720483E21Rik,41,4,8,7,0,15,15,8,20,16
Paqr8,4493,4756,3664,2595,4784,3178,3463,3420,3153,2835
Efhc1,108,122,145,72,288,92,55,101,94,143
Tram2,203,241,178,195,258,214,157,165,113,216
Tmem14a,270,224,139,178,383,160,190,236,321,368
Gsta3,1783,2707,1513,2041,3610,2045,1874,2016,2654,1651
Gm4956,53,64,32,30,19,37,35,69,81,130
Khdc1a,193,172,45,89,108,100,124,186,228,147
Khdc1c,0,0,0,2,0,0,0,4,0,9
Khdc1b,0,0,0,0,0,0,0,0,0,0
Kcnq5,34,23,30,40,0,24,24,70,90,106
Rims1,30,40,250,42,6,36,218,396,1358,1092
Gm7759,0,0,0,0,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,1,0,0,0,0,0,0
Ogfrl1,674,724,399,537,722,525,436,752,1378,1043
Gm28822,0,0,0,0,0,0,0,0,0,0
B3gat2,242,171,151,144,120,157,133,172,259,150
Smap1,4841,4571,3277,2871,4519,3083,3569,3439,3922,3046
Sdhaf4,539,777,736,542,666,559,629,813,838,649
Fam135a,8627,9439,6198,5612,8868,6473,7191,6957,7883,6348
Col9a1,2,2,0,2,0,0,2,2,0,4
Col19a1,0,2,2,2,0,0,6,2,0,2
Lmbrd1,6577,7830,5384,5490,9037,5848,5527,5718,7479,6199
Adgrb3,22,14,22,13,62,26,28,60,0,44
Gm20172,0,0,0,0,0,0,0,0,0,0
Gm9884,2,0,0,0,0,0,2,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0,2
Gm5524,0,0,0,0,0,0,0,0,0,0
Gm597,0,0,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0,0
Gm31465,0,0,0,0,0,0,0,0,0,0
Phf3,6745,6586,4329,4572,6398,5386,5991,5940,7273,5382
Ptp4a1,15071,13841,10748,8404,12645,8619,10748,10480,11313,9717
LOC115487084,29,8,16,6,32,17,20,5,4,16
Gm29669,0,0,2,0,0,0,1,4,17,8
4931428L18Rik,0,8,0,2,0,0,1,0,0,0
Lgsn,0,2,2,24,13,8,2,0,25,0
Dnaaf6,0,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,4,0,0,0,0,16,0
Khdrbs2,0,0,0,0,0,0,6,0,16,4
Gm9839,0,0,0,0,0,0,2,0,0,0
Gm5415,0,0,0,2,0,0,0,0,0,12
Prim2,1455,1334,800,1016,1814,1026,902,903,994,940
1700001G17Rik,10,26,9,23,22,10,13,34,10,24
Gm32229,0,1,3,1,14,10,0,0,0,0
Rab23,910,1163,1103,1016,1539,1025,1068,1204,1534,1570
Bag2,714,594,532,446,870,615,634,557,876,957
Zfp451,1328,1461,1112,1168,1979,1347,1450,1555,1993,1771
Gm15455,54,86,52,48,108,42,82,82,52,76
Bend6,12,28,16,10,12,20,16,40,46,38
Dst,14841,14915,9803,9966,13931,11011,9986,12589,15749,12799
Mir6896,0,0,0,0,0,0,0,0,0,0
