Gene,C3,C5,C7,T3,T4,T5
Xkr4,56,16,38,51,45,26
Rp1,1,0,0,0,0,0
Sox17,99,72,89,82,85,41
Mrpl15,1034,763,899,753,776,679
Lypla1,3850,2487,3227,3732,3494,1539
Tcea1,1783,1201,1568,1613,1642,789
Rgs20,13,2,3,0,2,1
Atp6v1h,1545,978,1261,1324,1392,843
Oprk1,10,7,5,0,24,3
Npbwr1,1,4,3,0,1,0
Rb1cc1,1930,1042,1501,1766,1933,504
Alkal1,19,8,5,8,11,2
St18,53,40,50,48,69,17
Pcmtd1,1571,949,1208,1454,1530,376
Sntg1,5,13,5,12,11,7
Rrs1,1101,693,994,698,866,494
Adhfe1,42,107,35,30,54,18
2610203C22Rik,11,6,8,1,7,0
Vxn,1,4,1,3,5,0
Mybl1,80,56,76,46,59,13
Vcpip1,1554,990,1272,1475,1501,458
1700034P13Rik,6,3,6,10,3,8
Sgk3,186,189,121,145,165,55
Mcmdc2,3,2,1,0,4,0
Snhg6,256,167,237,212,222,218
Snord87,7,2,1,0,2,0
Tcf24,15,20,22,19,22,5
Ppp1r42,1,1,2,3,0,0
Cops5,1764,1123,1457,1372,1339,840
Cspp1,635,480,543,619,627,172
Arfgef1,6306,3739,4622,5818,6033,1587
Cpa6,31,11,8,20,16,8
Prex2,209,136,168,313,330,55
A830018L16Rik,5,4,4,3,5,1
Mir6341,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Sulf1,368,379,270,314,361,91
Slco5a1,34,12,20,19,27,3
Prdm14,47,11,22,34,40,22
Ncoa2,2215,1268,1600,2029,2049,640
Tram1,3286,2378,2791,2694,2967,1000
Lactb2,699,475,598,678,682,348
Xkr9,71,55,81,102,83,79
Gm5523,1,0,0,0,0,0
Eya1,2,7,8,8,7,2
Msc,55,21,25,18,20,14
Trpa1,39,37,22,47,86,10
Kcnb2,34,21,22,49,50,6
Terf1,461,332,388,407,382,129
Sbspon,29,22,17,19,20,18
4930444P10Rik,1,0,0,0,4,0
Rpl7,19062,12882,15930,16050,17422,12075
Rdh10,880,671,685,901,1192,491
Stau2,472,320,438,464,467,179
Ube2w,587,411,451,550,483,233
Eloc,808,501,708,646,590,453
